drug name,molecular_formula,smiles,,drug class
Decitabine,C8H12N4O4,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,,Antineoplastic Agents
Phenelzine,C8H12N2,C1=CC=C(C=C1)CCNN,,Antidepressant Agents
Acyclovir,C8H11N5O3,C1=NC2=C(N1COCCO)N=C(NC2=O)N,,Antiviral Agents
Lamivudine,C8H11N3O3S,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,,Antiviral Agents
Caffeine,C8H10N4O2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,CNS Stimulants|Xanthine Derivatives
Ethionamide,C8H10N2S,CCC1=NC=CC(=C1)C(=S)N,,Antituberculosis Agents
Emtricitabine,C8H10FN3O3S,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,,Antiviral Agents
Zepatier,C87H105N15O16S,CC(C)[C@@H](C(=O)N1CCC[C@@H]1C2N=CC(=N2)C3=CC4=C(C=C3)C5=CC6=C(N5[C@@H](O4)C7=CC=CC=C7)C=CC(=C6)C8=CN=C(N8)[C@@H]9CCCN9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC.CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1,,Antiviral Agents|Hepatitis C Agents
Degarelix,C82H103ClN18O16,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=C(C=C2)NC(=O)N)NC(=O)[C@H](CC3=CC=C(C=C3)NC(=O)[C@@H]4CC(=O)NC(=O)N4)NC(=O)[C@H](CO)NC(=O)[C@@H](CC5=CN=CC=C5)NC(=O)[C@@H](CC6=CC=C(C=C6)Cl)NC(=O)[C@@H](CC7=CC8=CC=CC=C8C=C7)NC(=O)C,,Antineoplastic Agents|GnRH Analogues
Deferiprone,C7H9NO2,CC1=C(C(=O)C=CN1C)O,,Hematological Agents;|Chelating Agents
Theophylline,C7H8N4O2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,,Antiasthmatic Agents|Xanthine Derivatives
Mesalamine,C7H7NO3,C1=CC(=C(C=C1N)C(=O)O)O,,Gastrointestinal Agents|Sulfasalazine
Chlorzoxazone,C7H4ClNO2,C1=CC2=C(C=C1Cl)NC(=O)O2,,Muscle Relaxants
Cyclophosphamide,C7H15Cl2N2O2P,C1CNP(=O)(OC1)N(CCCl)CCCl,,Antineoplastic Agents|Alkylating Agents
Ifosfamide,C7H15Cl2N2O2P,C1CN(P(=O)(OC1)NCCCl)CCCl,,Antineoplastic Agents|Alkylating Agents|Cyclophosphamide
Ethosuximide,C7H11NO2,CCC1(CC(=O)NC1=O)C,,Anticonvulsants
Secnidazole,C7H11N3O3,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],,Antiinfective Agents
Propylthiouracil,C7H10N2OS,CCCC1=CC(=O)NC(=S)N1,,Antithyroid Agents
Inclisiran,C78H140N11O34P,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCO[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C)NC(=O)CCCCCCCCCCC(=O)N4C[C@@H](C[C@H]4COP(=O)(O)O)O)CO)O)O,,"Genetic Disorder Agents,|Antilipemic Agents"
Givosiran,C78H139N11O30,CC1CC(CN1C(=O)CCCCCCCCCCC(=O)NC(COCCC(=O)NCCCNC(=O)CCCCOC2C(C(C(C(O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCOC3C(C(C(C(O3)CO)O)O)NC(=O)C)COCCC(=O)NCCCNC(=O)CCCCOC4C(C(C(C(O4)CO)O)O)NC(=O)C)O,,Genetic Disorder Agents
Daptomycin,C72H101N17O26,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,,Antiinfective Agents
Metronidazole,C6H9N3O3,CC1=NC=C(N1CCO)[N+](=O)[O-],,Antiinfective Agents
DimethylFumarate,C6H8O4,COC(=O)/C=C/C(=O)OC,,Multiple Sclerosis Agents
Amiloride,C6H8ClN7O,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,,Diuretics
Isoniazid,C6H7N3O,C1=CN=CC=C1C(=O)NN,,Antituberculosis Agents
Temozolomide,C6H6N6O2,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,,Antineoplastic Agents|Alkylating Agents
Niacin,C6H5NO2,C1=CC(=CN=C1)C(=O)O,,Antilipemic Agents|Vitamins
Trientine,C6H18N4,C(CNCCNCCN)N,,Chelating Agents|Wilson Disease Agents
Busulfan,C6H14O6S2,CS(=O)(=O)OCCCCOS(=O)(=O)C,,Antineoplastic Agents|Alkylating Agents
Glucosamine,C6H13NO5,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O,,Herbal and Dietary Supplements
Migalastat,C6H13NO4,C1[C@@H]([C@H]([C@H]([C@H](N1)CO)O)O)O,,Genetic Disorder Agents
Methenamine,C6H12N4,C1N2CN3CN1CN(C2)C3,,Antiinfective Agents
Thiotepa,C6H12N3PS,C1CN1P(=S)(N2CC2)N3CC3,,Antineoplastic Agents|Alkylating Agents
Carboplatin,C6H12N2O4Pt,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],,Antineoplastic Agents|Alkylating Agents
Vigabatrin,C6H11NO2,C=CC(CCC(=O)O)N,,Anticonvulsants
Dacarbazine,C6H10N6O,CN(C)/N=N/C1=C(NC=N1)C(=O)N,,Antineoplastic Agents|Alkylating Agents
Histrelin,C66H86N18O12,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CN(C=N2)CC3=CC=CC=C3)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@@H]8CCC(=O)N8,,Antineoplastic Agents|GnRH Analogues
Vancomycin,C66H75Cl2N9O24,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,,Antiinfective Agents
Plecanatide,C65H104N18O26S4,C[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C(C)C)CC(=O)N)C(C)C)CC(C)C)CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)N,,Gastrointestinal Agents
Triptorelin,C64H82N18O13,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)[C@@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@@H]8CCC(=O)N8,,Antineoplastic Agents|GnRH Analogues
Voclosporin,C63H111N11O12,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,,Immunosuppressive Agents
Dactinomycin,C62H86N12O16,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,,Antineoplastic Agents
Cyclosporine,C62H111N11O12,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,,Transplant Agents|Antirheumatic Agents
Acetylcysteine,C5H9NO3S,CC(=O)N[C@@H](CS)C(=O)O,,"Antidotes, Toxicological Emergency"
Carmustine,C5H9Cl2N3O2,C(CCl)NC(=O)N(CCCl)N=O,,Antineoplastic Agents|Alkylating Agents
Amifampridine,C5H7N3,C1=CN=CC(=C1N)N,,Myasthenia Agents
Dalfampridine,C5H6N2,C1=CN=CC=C1N,,Multiple Sclerosis Agents
Thioguanine,C5H5N5S,C1=NC2=C(N1)C(=S)N=C(N2)N,,Antineoplastic Agents
Pyrazinamide,C5H5N3O,C1=CN=C(C=N1)C(=O)N,,Antituberculosis Agents
Mercaptopurine,C5H4N4S,C1=NC2=C(N1)C(=S)N=CN2,,Antineoplastic Agents
Allopurinol,C5H4N4O,C1=NNC2=C1C(=O)NC=N2,,Antigout Agents
Acamprosate,C5H11NO4S,CC(=O)NCCCS(=O)(=O)O,,Substance Abuse Treatment Agents
Penicillamine,C5H11NO2S,CC(C)([C@H](C(=O)O)N)S,,Antirheumatic Agents|Chelating Agents|Wilson Disease Agents
Betaine,C5H11NO2,C[N+](C)(C)CC(=O)[O-],,Genetic Disorder Agents
Mechlorethamine,C5H11Cl2N,CN(CCCl)CCCl,,Antineoplastic Agents|Alkylating Agents
L-Glutamine,C5H10N2O3,C(CC(=O)N)[C@@H](C(=O)O)N,,"Genetic Disorder Agents,|Hematologic|Sickle Cell Disease Agents"
Goserelin,C59H84N18O14,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(=O)N)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6,,Antineoplastic Agents|GnRH Analogues
Leuprolide,C59H84N16O12,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6,,Antineoplastic Agents|GnRH Analogues
Linaclotide,C59H79N15O21S6,C[C@H]1C(=O)N[C@H]2CSSC[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@@H](C)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O)C(=O)N[C@@H](CSSC[C@@H](C(=O)N3)N)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)N1)CC(=O)N)CC6=CC=C(C=C6)O)CCC(=O)O,,Gastrointestinal Agents
Pasireotide,C58H66N10O9,C1[C@H](CN2[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,,Hormonal Agents;|Antineoplastic Agents|Gastrointestinal Agents
Temsirolimus,C56H87NO16,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,,Antineoplastic Agents|Transplant Drugs
Bleomycin,C55H84N17O21S3+,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,,Antineoplastic Agents
Lanreotide,C54H69N11O10S2,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N,,Hormonal Agents;|Antineoplastic Agents|Gastrointestinal Agents
Everolimus,C53H83NO14,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,,Antineoplastic Agents|Transplant Agents
Plicamycin,C52H76O24,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,,Antineoplastic Agents
Fidaxomicin,C52H74Cl2O18,CC[C@H]1/C=C(/[C@H](C/C=C/C=C(/C(=O)O[C@@H](C/C=C(/C=C(/[C@@H]1O[C@H]2[C@H]([C@H]([C@@H](C(O2)(C)C)OC(=O)C(C)C)O)O)\C)\C)[C@@H](C)O)\CO[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)\C,,Antiinfective Agents|Macrolide Antibiotics
Sirolimus,C51H79NO13,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,,Transplant Agents|Antirheumatic Agents
Capreomycin,C50H88N28O15,C[C@H]1C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CNC(=O)C[C@H](CCCN)N.C1CN=C(N[C@H]1[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N2)CNC(=O)C[C@H](CCCN)N)CO)N)N,,Antituberculosis Agents
Bremelanotide,C50H68N14O10,CCCC[C@@H](C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CC2=CN=CN2)CC3=CC=CC=C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)O)NC(=O)C,,CNS Stimulants; Female Hypoactive Sexual Desire Disorder Agents
Tenapanor,C50H66Cl4N8O10S2,CN1C[C@H](C2=C(C1)C(=CC(=C2)Cl)Cl)C3=CC(=CC=C3)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C4=CC=CC(=C4)[C@@H]5CN(CC6=C5C=C(C=C6Cl)Cl)C,,Gastrointestinal Agents
Oxybate,C4H8O3,C(CC(=O)O)CO,,CNS Stimulants
Asparaginase,C4H7N2O3-,C(C(C(=O)[O-])N)C(=O)N,,Antineoplastic Agents
Succimer,C4H6O4S2,[C@@H]([C@@H](C(=O)O)S)(C(=O)O)S,,Chelating Agents
Methimazole,C4H6N2S,CN1C=CNC1=S,,Antithyroid Agents
Flucytosine,C4H4FN3O,C1=NC(=O)NC(=C1F)N,,Antifungal Agents
Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,,Antineoplastic Agents
Sevoflurane,C4H3F7O,C(OC(C(F)(F)F)C(F)(F)F)F,,Halogenated Anesthetics
Metformin,C4H11N5,CN(C)C(=N)N=C(N)N,,Antidiabetic Agents
Octreotide,C49H66N10O10S2,C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O,,Hormonal Agents;|Antineoplastic Agents|Gastrointestinal Agents
Ivermectin,C48H74O14,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,,Anthelmintic Agents
Nystatin,C47H75NO17,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,,Antifungal Agents
Rifapentine,C47H64N4O12,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C6CCCC6)/C,,Antituberculosis Agents
Paclitaxel,C47H51NO14,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,,Antineoplastic Agents|Taxanes
Rifabutin,C46H62N4O11,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)/C,,Antituberculosis Agents
Cabazitaxel,C45H57NO14,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,,Antineoplastic Agents|Taxanes
Venetoclax,C45H50ClN7O7S,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,,Antineoplastic Agents
Tacrolimus,C44H69NO12,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,,Transplant Agents|Antirheumatic Agents
