drug name,molecular_formula,smiles,,molecular_weight
Methyclothiazide,C9H11Cl2N3O4S2,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Apraclonidine,C9H10Cl2N4,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,,Breast Feeding|Lactation|Adrenergic alpha-2 Receptor Agonists|Antiglaucoma Agents
Bivalirudin,C98H138N24O33,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](CC6=CC=CC=C6)N,,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Acetaminophen,C8H9NO2,CC(=O)NC1=CC=C(C=C1)O,,"Breast Feeding|Lactation|Analgesics, Non-Narcotic"
Hydralazine,C8H8N4,C1=CC=C2C(=C1)C=NN=C2NN,,Breast Feeding|Lactation|Antihypertensive Agents|Vasodilator Agents
Technetium Tc 99m Mertiatide,C8H8N3Na2O6STc,C(C(=O)[N-]CC(=O)[O-])[N-]C(=O)C[N-]C(=O)C[S-].O=[99Tc+3].[Na+].[Na+],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Zonisamide,C8H8N2O3S,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,,Breast Feeding|Lactation|Anticonvulsants
Hydroflumethiazide,C8H8F3N3O4S2,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Trichlormethiazide,C8H8Cl3N3O4S2,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
diazoxide,C8H7ClN2O2S,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Vasodilator Agents|Blood Glucose|Glycemic Control"
Nitrofurantoin,C8H6N4O5,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],,"Breast Feeding|Lactation|Anti-Infective Agents, Urinary|Antibacterial Agents|Nitrofurans"
Riluzole,C8H5F3N2OS,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,,Breast Feeding|Lactation|Excitatory Amino Acid Antagonists|Neuroprotective Agents
Pregabalin,C8H17NO2,CC(C)C[C@@H](CC(=O)O)CN,,"Breast Feeding|Lactation|Milk, Human|Analgesics|Anticonvulsants"
Valproic Acid,C8H16O2,CCCC(CCC)C(=O)O,,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants|Antimanic Agents|GABA Agents"
Tranexamic Acid,C8H15NO2,C1CC(CCC1CN)C(=O)O,,"Breast Feeding|Lactation|Milk, Human|Antifibrinolytic Agents"
Famotidine,C8H15N7O2S3,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,,Breast Feeding|Lactation|Anti-Ulcer Agents|Histamine H2 Antagonists|Gastrointestinal Agents
cidofovir,C8H14N3O6P,C1=CN(C(=O)N=C1N)C[C@@H](CO)OCP(=O)(O)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antiviral Agents"
oxaliplatin,C8H14N2O4Pt,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Platinum Compounds"
Levetiracetam,C8H14N2O2,CC[C@@H](C(=O)N)N1CCCC1=O,,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants"
Tinidazole,C8H13N3O4S,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Antiprotozoal Agents|Nitroimidazoles
Technetium Tc 99m Ethylenedicysteine,C8H13N2O5S2Tc,C(CN[C@@H](C[S-])C(=O)[O-])N[C@@H](CS)C(=O)[O-].O=[Tc+3],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Adefovir,C8H12N5O4P,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,,Breast Feeding|Lactation|Antiviral Agents|Reverse Transcriptase Inhibitors
Ribavirin,C8H12N4O5,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,,Breast Feeding|Lactation|Antiviral Agents|Nucleosides
decitabine,C8H12N4O4,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,,Breast Feeding|Lactation|Antimetabolites|Antineoplastic Agents|Enzyme Inhibitors
Phenelzine,C8H12N2,C1=CC=C(C=C1)CCNN,,Breast Feeding|Lactation|Antidepressive Agents|Monoamine Oxidase Inhibitors
Magnesium Aspartate,C8H12MgN2O8,C([C@@H](C(=O)O)N)C(=O)[O-].C([C@@H](C(=O)O)N)C(=O)[O-].[Mg+2],,Breast Feeding|Lactation|Magnesium Compounds
Norepinephrine,C8H11NO3,C1=CC(=C(C=C1[C@H](CN)O)O)O,,Breast Feeding|Lactation|Adrenergic Agonists|Adrenergic Alpha-Agonists|Catecholamines|Sympathomimetics|Vasoconstrictor Agents
Dopamine,C8H11NO2,C1=CC(=C(C=C1CCN)O)O,,Breast Feeding|Lactation|Cardiotonic Agents|Catecholamines|Dopamine Agents|Sympathomimetics
Lamivudine,C8H11N3O3S,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
Caffeine,C8H10N4O2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,"Breast Feeding|Lactation|Milk, Human|Central Nervous System Stimulants|Phosphodiesterase Inhibitors|Purinergic P1 Receptor Antagonists|Xanthines"
Ethionamide,C8H10N2S,CCC1=NC=CC(=C1)C(=S)N,,Breast Feeding|Lactation|Anti-infective Agents|Antitubercular Agents
Iobenguane I 123,C8H10IN3,C1=CC(=CC(=C1)[123I])CN=C(N)N,,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Iobenguane I 131,C8H10IN3,C1=CC(=CC(=C1)[131I])CN=C(N)N,,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Emtricitabine,C8H10FN3O3S,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
Teicoplanin,C88H97Cl2N9O33,CCCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@@H](C7=C(C(=CC(=C7)O)OC8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]1C2=CC(=CC(=C2)OC2=C(C=CC(=C2)[C@H](C(=O)N[C@H](CC2=CC(=C(O3)C=C2)Cl)C(=O)N1)N)O)O)O)C(=O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)Cl)CO)O)O,,Breast Feeding|Lactation|Antibacterial Agents|Anti-Infective Agents|Glycopeptides
Dalbavancin,C88H100Cl2N10O28,CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@@H](C7=C(C(=CC(=C7)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]1C2=C(C(=CC(=C2)OC2=C(C=CC(=C2)[C@H](C(=O)N[C@H](CC2=CC=C(O3)C=C2)C(=O)N1)NC)O)O)Cl)O)C(=O)NCCCN(C)C)O)Cl)C(=O)O)O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Anti-Bacterial Agents|Glycopeptides|Lipoglycopeptides
Oritavancin,C86H97Cl3N10O26,C[C@H]1[C@@H]([C@@](C[C@@H](O1)O[C@H]2[C@H]3C(=O)N[C@@H](C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)[C@H](C(=O)N3)NC(=O)[C@H]6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)OC1=C(C=C(C=C1)[C@H]([C@H](C(=O)N[C@H](C(=O)N6)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O,,Breast Feeding|Lactation|Anti-Infective Agents|Anti-Bacterial Agents|Glycopeptides|Lipoglycopeptides
Spinosad,C83H132N2O20,CC[C@H]1CCCC([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C=C[C@H]3[C@@H]2CC(=O)O1)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C.CC[C@H]1CCCC([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C(=C[C@H]3[C@@H]2CC(=O)O1)C)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C,,"Breast Feeding|Lactation|Milk, Human|Insecticides"
Telavancin,C80H106Cl2N11O27P,CCCCCCCCCCNCCN[C@]1(C[C@@H](O[C@H]([C@H]1O)C)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C(=C(C=C9[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)CNCP(=O)(O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Glycopeptides|Lipoglycopeptides
Deferiprone,C7H9NO2,CC1=C(C(=O)C=CN1C)O,,"Breast Feeding|Lactation|Milk, Human|Chelating Agents|Iron Chelating Agents"
Theophylline,C7H8N4O2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,,"Breast Feeding|Lactation|Milk, Human|Anti-Asthmatic Agents|Bronchodilator Agents"
Mesalamine,C7H7NO3,C1=CC(=C(C=C1N)C(=O)O)O,,"Breast Feeding|Lactation|Gastrointestinal Agents|Anti-Inflammatory Agents, Non-Steroidal"
Aminosalicylic Acid,C7H7NO3,C1=CC(=C(C=C1N)O)C(=O)O,,Breast Feeding|Lactation|Anti-infective Agents|Antitubercular Agents
Salicylic Acid,C7H6O3,C1=CC=C(C(=C1)C(=O)O)O,,Breast Feeding|Lactation|Dermatologic Agents|Anti-Infective Agents|Antifungal Agents|Keratolytic Agents
Bismuth Subsalicylate,C7H6BiO4,C1=CC=C2C(=C1)C(=O)O[Bi]O2.O,,"Breast Feeding|Lactation|Milk, Human|Bismuth|Salicylates|Gastrointestinal Agents"
Saccharin,C7H5NO3S,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,,"Breast Feeding|Lactation|Milk, Human|Artificial Sweeteners|Sweetening Agents"
Bethanechol,C7H17N2O2+,CC(C[N+](C)(C)C)OC(=O)N,,Breast Feeding|Lactation|Muscarinic Agonists|Parasympathomimetics
Acetylcholine,C7H16NO2+,CC(=O)OCC[N+](C)(C)C,,Breast Feeding|Lactation|Miotics|Muscarinic Agonists|Parasympathomimetics
Levocarnitine,C7H15NO3,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,,Breast Feeding|Lactation|Complementary Therapies
Cyclophosphamide,C7H15Cl2N2O2P,C1CNP(=O)(OC1)N(CCCl)CCCl,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Alkylating Agents"
ifosfamide,C7H15Cl2N2O2P,C1CN(P(=O)(OC1)NCCCl)CCCl,,Breast Feeding|Lactation|Antineoplastic Agents|Alkylating Agents
Ethosuximide,C7H11NO2,CCC1(CC(=O)NC1=O)C,,Breast Feeding|Lactation|Anticonvulsants
Secnidazole,C7H11N3O3,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],,Breast Feeding|Lactation|Anti-Infective Agents|Antiprotozoal Agents|Nitroimidazoles
Propylthiouracil,C7H10N2OS,CCCC1=CC(=O)NC(=S)N1,,Breast Feeding|Lactation|Antithyroid Agents|Thionamides
Carbimazole,C7H10N2O2S,CCOC(=O)N1C=CN(C1=S)C,,"Breast Feeding|Lactation|Milk, Human|Antithyroid Agents|Thionamides"
inclisiran,C78H140N11O34P,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCO[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C)NC(=O)CCCCCCCCCCC(=O)N4C[C@@H](C[C@H]4COP(=O)(O)O)O)CO)O)O,,"Breast Feeding|Lactation|Milk, Human|Anticholesteremic Agents|Antilipemic Agents"
Sugammadex,C72H112O48S8,C(CSC[C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)O)O)C(=O)O,,"Breast Feeding|Lactation|Milk, Human|Antidotes|Gamma-Cyclodextrins|Neuromuscular Blockade"
Daptomycin,C72H101N17O26,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,,"Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Peptides, Cyclic|Lipopeptides"
Metronidazole,C6H9N3O3,CC1=NC=C(N1CCO)[N+](=O)[O-],,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Antiprotozoal Agents|Nitroimidazoles
Povidone-Iodine,C6H9I2NO,C=CN1CCCC1=O.II,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents, Local|Antibacterial Agents|Iodophors"
Vitamin C,C6H8O6,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,,Breast Feeding|Lactation|Vitamins
Dimethyl Fumarate,C6H8O4,COC(=O)/C=C/C(=O)OC,,"Breast Feeding|Lactation|Milk, Human|Dermatologic Agents|Immunosuppressive Agents|Radiation-Sensitizing Agents"
Amiloride,C6H8ClN7O,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,,Breast Feeding|Lactation|Diuretics
Isoniazid,C6H7N3O,C1=CN=CC=C1C(=O)NN,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antitubercular Agents"
Temozolamide,C6H6N6O2,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,,"Breast Feeding|Lactation|Antineoplastic Agents|Antineoplastic Agents, Alkylating"
Vitamin B,C6H6N2O,C1=CC(=CN=C1)C(=O)N,,"Breast Feeding|Lactation|Milk, Human|Vitamin B Complex|Vitamins"
