drug name,drug class
Rubidium Chloride Rb 82,Breast Feeding|Lactation|Radiopharmaceuticals|Rubidium Radioisotopes|Diagnostic Agents
Eflornithine,Breast Feeding|Lactation|Antiparasitic Agents|Antiprotozoal Agents|Enzyme Inhibitors|Trypanocidal Agents
Sildenafil,"Breast Feeding|Lactation|Milk, Human|Phosphodiesterase 5 Inhibitors|Urologic Agents|Vasodilator Agents"
Bosentan,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents"
Gadoterate,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Doxylamine,Breast Feeding|Lactation|Antihistamines|Antiemetics|Gastrointestinal Agents
Ferric Carboxymaltose,Breast Feeding|Lactation|Ferric Compounds|Hematinics|Iron Compounds
Ethacrynic Acid,Breast Feeding|Lactation|Antihypertensive Agents|Loop Diuretics
Canagliflozin,Breast Feeding|Lactation|Hypoglycemic Agents|Sodium-Glucose Cotransporter 2 Inhibitors|SGLT2 Inhibitors
Iron Dextran,Breast Feeding|Lactation|Ferric Compounds|Hematinics|Iron Compounds
Alogliptin,Breast Feeding|Lactation|Hypoglycemic Agents|Incretins|Dipeptidyl-Peptidase IV Inhibitors|DPP-4 Inhibitors
Gadofosveset,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Luliconazole,Breast Feeding|Lactation|Antifungal Agents|Anti-Infective Agents
Leflunomide,"Breast Feeding|Lactation|Milk, Human|Antirheumatic Agents|Immunosuppressive Agents"
Dolutegravir,"Breast Feeding|Lactation|Milk, Human|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Integrase Inhibitors"
Everolimus,Breast Feeding|Lactation|Immunosuppressive Agents
Belatacept,"Breast Feeding|Lactation|Milk, Human|Immunosuppressive Agents"
Eslicarbazepine,Breast Feeding|Lactation|Anticonvulsants
Levomilnacipran,"Breast Feeding|Lactation|Milk, Human|Adrenergic Uptake Inhibitors|Antidepressive Agents|Serotonin Uptake Inhibitors"
Obinutuzumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Mipomersen,"Breast Feeding|Lactation|Milk, Human|Anticholesteremic Agents|Antilipemic Agents"
Etoposide,Breast Feeding|Lactation|Antineoplastic Agents
Peginterferon Alfa,Breast Feeding|Lactation|Antiviral Agents|Biological Response Modifiers|Antineoplastic Agents
Floxacillin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Lormetazepam,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Flunitrazepam,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Nitrazepam,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Vasopressin,Breast Feeding|Lactation|Vasopressins|Arginine Vasopressin
Benznidazole,Breast Feeding|Lactation|Antiparasitic Agents|Antiprotozoal Agents|itroimidazoles|Trypanocidal Agents
Intrauterine Copper Contraceptive,"Breast Feeding|Lactation|Intrauterine Devices, Copper|Contraceptive Devices|Contraceptive Agents, Female|Contraceptives, Postcoital"
Felodipine,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
Ulipristal,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents|Contraceptives, Postcoital|Contraceptive Agents, Female"
Prednicarbate,"Breast Feeding|Lactation|Corticosteroids, Topical"
Clocortolone Pivalate,"Breast Feeding|Lactation|Corticosteroids, Topical"
Malathion,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Insecticides
Sevelamer,Breast Feeding|Lactation|Chelating Agents
Thioguanine,Breast Feeding|Lactation|Antimetabolites|Antineoplastic Agents
Oxymorphone,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid; Narcotics"
Nitroprusside,Breast Feeding|Lactation|Antihypertensive Agents|Vasodilator Agents
Black Currant Seed Oil,"Breast Feeding|Lactation|Complementary Therapies|Oils|Phytotherapy|Plants, Medicinal"
Tofacitinib,Breast Feeding|Lactation|Antirheumatic Agents|Enzyme Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors|Signal Transduction Inhibitors|Protein Kinase Inhibitors
Fenoprofen,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Temsirolimus,Breast Feeding|Lactation|Immunosuppressive Agents
Tazarotene,"Breast Feeding|Lactation|Milk, Human|Dermatologic Agents|Keratolytic Agents"
Vedolizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Gastrointestinal Agents"
Perflutren,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents|Fluorocarbons|Gases"
Sulfur Hexafluoride,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents|Fluorides|Gases"
Salicylic Acid,Breast Feeding|Lactation|Dermatologic Agents|Anti-Infective Agents|Antifungal Agents|Keratolytic Agents
Fexofenadine,Breast Feeding|Lactation|Antihistamines|Nonsedating Antihistamines
Xenon,"Breast Feeding|Lactation|Anesthetics, Inhalation|Elements|Gases"
Pancuronium,Breast Feeding|Lactation|Muscle Relaxants|Neuromuscular Nondepolarizing Agents
Atracurium,"Breast Feeding|Lactation|Milk, Human|Muscle Relaxants|Neuromuscular Nondepolarizing Agents"
Cisatracurium,"Breast Feeding|Lactation|Milk, Human|Muscle Relaxants|Neuromuscular Nondepolarizing Agents"
Rocuronium,Breast Feeding|Lactation|Muscle Relaxants|Neuromuscular Nondepolarizing Agents
Ramucirumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Apazone,"Breast Feeding|Lactation|Anti-Inflammatory Agents, Non-Steroidal|Uricosuric Agents"
Telavancin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Glycopeptides|Lipoglycopeptides
Tedizolid,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents
Flecainide,"Breast Feeding|Lactation|Milk, Human|Antiarrhythmics"
Dalbavancin,Breast Feeding|Lactation|Anti-Infective Agents|Anti-Bacterial Agents|Glycopeptides|Lipoglycopeptides
Oritavancin,Breast Feeding|Lactation|Anti-Infective Agents|Anti-Bacterial Agents|Glycopeptides|Lipoglycopeptides
Dihydrocodeine,"Breast Feeding|Lactation|Milk, Human|Analgesic, Opioid|Narcotics|Antitussive Agents"
Dacarbazine,"Breast Feeding|Lactation|Antineoplastic Agents|Antineoplastic Agents, Alkylating"
Vinorelbine,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Antimitotic Agents"
Bleomycin,"Breast Feeding|Lactation|Antineoplastic Agents|Antibiotics, Antineoplastic"
Vinblastine,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Antimitotic Agents"
Thallous Chloride Tl 201,Breast Feeding|Lactation|Radiopharmaceuticals|Thallium Radioisotopes|Diagnostic Agents
Flunisolide,"Breast Feeding|Lactation|Milk, Human|Anti-Allergic Agents|Anti-Asthmatic Agents|Corticosteroids, Inhaled|Glucocorticoids|Anti-Inflammatory Agents"
Samarium Sm 153 Lexidronam Pentasodium,Breast Feeding|Lactation|Radiopharmaceuticals|Samarium Radioisotopes
Indium 111 Ibritumomab Tiuxetan,"Breast Feeding|Lactation|Milk, Human|Radiopharmaceuticals|Indium Radioisotopes|Diagnostic Agents"
Flutemetamol F 18,Breast Feeding|Lactation|Radiopharmaceuticals|Fluorine Radioisotopes|Diagnostic Agents
Sodium Fluoride F 18,Breast Feeding|Lactation|Radiopharmaceuticals|Fluoride Radioisotopes|Diagnostic Agents
Iothalamate Sodium I 125,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Sodium Phosphate P 32,Breast Feeding|Lactation|Radiopharmaceuticals|Phosphorus Radioisotopes
Corticotropin,Breast Feeding|Lactation|Adrenocorticotropic Hormone|ACTH
Calcitonin,Breast Feeding|Lactation|Bone Density Conservation Agents|Neuropeptides|Peptide Hormones
Fluocinonide,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Yttrium 90 Ibritumomab Tiuxetan,Breast Feeding|Lactation|Radiopharmaceuticals|Yttrium Radioisotopes
Tositumomab I 131,"Breast Feeding|Lactation|Milk, Human|Radiopharmaceuticals|Iodine Radioisotopes"
Urea C 14,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Urea|Diagnostic Agents
Technetium Tc 99m Tilmanocept,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Radioisotopes|Diagnostic Agents
Iocanlidic Acid I 123,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Water O 15,Breast Feeding|Lactation|Radiopharmaceuticals|Oxygen Radioisotopes|Diagnostic Agents
Technetium Tc 99m Mebrofenin,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Yttrium Y 90,Breast Feeding|Lactation|Radiopharmaceuticals|Yttrium Radioisotopes
Phosphorus P 32,Breast Feeding|Lactation|Radiopharmaceuticals|Phosphorus Radioisotopes
Florbetapir F 18,Breast Feeding|Lactation|Radiopharmaceuticals|Fluorine Radioisotopes|Diagnostic Agents
Fluocinolone,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Technetium Tc 99m Dextran,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Radioisotopes|Diagnostic Agents
Indium In 111 Pentetate,Breast Feeding|Lactation|Radiopharmaceuticals|Indium Radioisotopes|Diagnostic Agents
Pulsatilla,"Breast Feeding|Lactation|Complementary Therapies|Phytotherapy|Plants, Medicinal"
Phencyclidine,Breast Feeding|Lactation|Excitatory Amino Acid Antagonists|Hallucinogens|Street Drugs
Gossypium,"Breast Feeding|Lactation|Complementary Therapies|Phytotherapy|Plants, Medicinal"
Siltuximab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Fluphenazine,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Vilanterol,Breast Feeding|Lactation|Beta Adrenergic Agonists|Bronchodilator Agents
Teriflunomide,Breast Feeding|Lactation|Immunosuppressive Agents
Dimethyl Fumarate,"Breast Feeding|Lactation|Milk, Human|Dermatologic Agents|Immunosuppressive Agents|Radiation-Sensitizing Agents"
Methoxsalen,Breast Feeding|Lactation|Dermatologic Agents|Photosensitizing Agents|Coumarins|Furocoumarins|Psoralens|PUVA Therapy
Nivolumab,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Biological Response Modifiers|Immunologic Adjuvants|Immune Checkpoint Inhibitors|Antibodies, Monoclonal"
Secukinumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Dermatologic Agents"
Pembrolizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Antineoplastic Agents|Biological Response Modifiers|Immunologic Adjuvants|Immune Checkpoint Inhibitors"
Apixaban,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Rivaroxaban,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Flurandrenolide,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Dabigatran,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Blinatumomab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Perampanel,Breast Feeding|Lactation|Anticonvulsants
Emu Oil,"Breast Feeding|Lactation|Anti-Infective Agents, Local|Complementary Therapies|Cosmetics|Oils"
Lacosamide,"Breast Feeding|Lactation|Milk, Human|Anticonvulsants"
Brexpiprazole,Breast Feeding|Lactation|Antipsychotic Agents|Serotonin Agents|Dopamine Agonists
Sodium Polystyrene Sulfonate,Breast Feeding|Lactation|Cation Exchange Resins|Chelating Agents
Evolocumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Anticholesteremic Agents|Antilipemic Agents"
Alirocumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Anticholesteremic Agents|Antilipemic Agents"
Ramelteon,"Breast Feeding|Lactation|Milk, Human|Central Nervous System Depressants"
Flurbiprofen,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Idarucizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Immunoglobulin Fragments|Antibodies, Monoclonal"
Sodium Ferric Gluconate Complex,Breast Feeding|Lactation|Ferric Compounds|Hematinics|Iron Compounds
Ferric Pyrophosphate Citrate,Breast Feeding|Lactation|Ferric Compounds|Hematinics|Iron Compounds
Ferumoxytol,Breast Feeding|Lactation|Contrast Media|Ferric Compounds|Hematinics|Iron Compounds
Dinutuximab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
Dexmethylphenidate,"Breast Feeding|Lactation|Milk, Human|Adrenergic Agents|Central Nervous System Stimulants|Dopamine Agents|Sympathomimetics|Wakefulness-Promoting Agents"
"Fluticasone, Topical","Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Fosphenytoin,Breast Feeding|Lactation|Anticonvulsants
Fospropofol,"Breast Feeding|Lactation|Anesthetics, Intravenous|Hypnotics and Sedatives"
Anthrax Immune Globulin Intravenous (Human),"Breast Feeding|Lactation|Milk, Human|Antibodies|Immunoglobulin G|Immunoglobulins"
Paromomycin,Breast Feeding|Lactation|Anti-Infective Agents|Amebicides|Anti-Bacterial Agents|Aminoglycosides
Peginterferon Beta,Breast Feeding|Lactation|Immunologic Adjuvants|Biological Response Modifiers
Desirudin,Breast Feeding|Lactation|Anticoagulants
Bivalirudin,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Argatroban,Breast Feeding|Lactation|Anticoagulants|Antithrombins
"Fluticasone, Inhaled","Breast Feeding|Lactation|Anti-allergic Agents|Anti-Asthmatic Agents|Corticosteroids, Inhaled|Glucocorticoids|Anti-Inflammatory Agents"
Fondaparinux,Breast Feeding|Lactation|Anticoagulants
Mepolizumab,"Breast Feeding|Lactation|Milk, Human|Anti-Allergic Agents|Anti-Asthmatic Agents|Antibodies, Monoclonal, Humanized"
Olodaterol,Breast Feeding|Lactation|Anti-Asthmatic Agents|Beta Adrenergic Agonists|Bronchodilator Agents
Daratumumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
Necitumumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Heroin,"Breast Feeding|Lactation|Analgesics, Opioid|Narcotics|Street Drugs"
Elotuzumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
Parenteral Nutrition,Breast Feeding|Lactation|Parenteral Nutrition
Technetium Tc 99m Gluconate,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Formoterol,"Breast Feeding|Lactation|Milk, Human|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists"
Nitrogen-13,Breast Feeding|Lactation|Radiopharmaceuticals|Nitrogen Radioisotopes|Diagnostic Agents
Dialysis,"Breast Feeding|Lactation|Milk, Human|Renal Dialysis"
(1-14C)-Triolein,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Diagnostic Agents
(14C)-Glycocholic Acid,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Diagnostic Agents
Carbon- 11,Breast Feeding|Lactation|Carbon Radioisotopes|Radiopharmaceuticals|Diagnostic Agents
Oxygen-15,Breast Feeding|Lactation|Radiopharmaceuticals|Oxygen Radioisotopes|Diagnostic Agents
d-Xylose C14,Breast Feeding|Lactation|Radiopharmaceuticals|Carbon Radioisotopes|Diagnostic Agents
Ondansetron,"Breast Feeding|Lactation|Milk, Human|Antiemetics|Gastrointestinal Agents|Serotonin Antagonists|Serotonin 5-HT3 Receptor Antagonists"
Nilotinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Dasatinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Oxybate Salts,"Breast Feeding|Lactation|Milk, Human|Anesthetics|Hypnotics and Sedatives|GABA Modulators"
Reslizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized"
Lisuride,Breast Feeding|Lactation|Antiparkinson Agents|Dopamine Agonists|Serotonin Receptor Agonists
Ixekizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Dermatologic Agents"
Obiltoxaximab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Deep Brain Stimulation,Breast Feeding|Lactation|Electric Stimulation Therapy
Hepatitis B Immune Globulin (Human),"Breast Feeding|Lactation|Milk, Human|Antibodies|Immunoglobulin G|Immunoglobulins"
Atezolizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents|Biological Response Modifiers|Immunologic Adjuvants|Immune Checkpoint Inhibitors"
Furosemide,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Loop Diuretics"
Deferoxamine,Breast Feeding|Lactation|Chelating Agents|Iron Chelating Agents
Deferasirox,Breast Feeding|Lactation|Chelating Agents|Iron Chelating Agents
Deferiprone,"Breast Feeding|Lactation|Milk, Human|Chelating Agents|Iron Chelating Agents"
Daclizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized"
Cladribine,Breast Feeding|Lactation|Antineoplastic Agents|Immunosuppressive Agents
Elbasvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Dasabuvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents"
Daclatasvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Grazoprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Ombitasvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Gatifloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Ledipasvir,Breast Feeding|Lactation|Antiviral Agents|NS5A Inhibitors
Paritaprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Sofosbuvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Nucleotides"
Simeprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Gallium Ga 68 Dotatate,Breast Feeding|Lactation|Diagnostic Agents|Radiopharmaceuticals|Gallium Radioisotopes
Ado-Trastuzumab Emtansine,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents|Ado-Trastuzumab Emtansine"
Aflibercept,"Breast Feeding|Lactation|Milk, Human|Angiogenesis Inhibitors|Recombinant Fusion Proteins"
Ziv-Aflibercept,Breast Feeding|Lactation|Antineoplastic Agents|Angiogenesis Inhibitors|Recombinant Fusion Proteins
Transcutaneous Electric Nerve Stimulation,Breast Feeding|Lactation|Electric Stimulation Therapy
Gentamicin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Aminoglycosides
Oil of Lemon Eucalyptus,Breast Feeding|Lactation|Insect Repellents|Plant Extracts
Vortioxetine,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Serotonin Uptake Inhibitors|Serotonin 5-HT1 Receptor Agonists|Serotonin 5-HT1 Receptor Antagonists|Serotonin 5-HT3 Receptor Antagonists"
Fesoterodine,Breast Feeding|Lactation|Muscarinic Antagonists|Parasympatholytics
Velpatasvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Carfilzomib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Glimepiride,Breast Feeding|Lactation|Hypoglycemic Agents|Sulfonylurea Compounds
Bosutinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Axitinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Afatinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Ibrutinib,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors"
Glipizide,Breast Feeding|Lactation|Hypoglycemic Agents|Sulfonylurea Compounds
Ponatinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Osimertinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
