drug name,drug class
Berberine,Herbal and Dietary Supplements
Beta2AdrenergicAgoni,Antiasthmatic Agents|Beta-2 Adrenergic Agonists
Betaine,Genetic Disorder Agents
Betaxolol,Beta-Adrenergic Receptor Antagonists
Betrixaban,Antithrombotic Agents|Anticoagulants
Bevacizumab,Antineoplastic Agents|Monoclonal Antibodies
Bexarotene,Antineoplastic Agents|Retinoids
Bezlotoxumab,Antiinfective Agents|Monoclonal Antibodies
Bicalutamide,Antineoplastic Agents|Antiandrogens
Bictegravir,Antiviral Agents
Bilberry,Herbal and Dietary Supplements
BileAcidResins,Antilipemic Agents
BileAcids,Gastrointestinal Agents
Biperiden,Antiparkinson Agents
Bisacodyl,Gastrointestinal Agents
Bisoprolol,Beta-Adrenergic Receptor Antagonists
Bisphosphonates,"Osteoporosis Agents, Bone Resorption Inhibitors"
BitterMelon,Herbal and Dietary Supplements
BlackCohosh,Herbal and Dietary Supplements
BlackCumin,Herbal and Dietary Supplements
Bleomycin,Antineoplastic Agents
Blinatumomab,Antineoplastic Agents|Monoclonal Antibodies
Boceprevir,Antiviral Agents|Hepatitis C Agents|HCV Protease Inhibitors
Bortezomib,Antineoplastic Agents|Protein Kinase Inhibitors
Bosentan,Pulmonary Arterial Hypertension Agents
Bosutinib,Antineoplastic Agents|Protein Kinase Inhibitors
Boswellia,Herbal and Dietary Supplements
Bremelanotide,CNS Stimulants; Female Hypoactive Sexual Desire Disorder Agents
Brentuximab_vedotin,Antineoplastic Agents|Monoclonal Antibodies
Brexanolone,Antidepressant Agents
Brexpiprazole,Antipsychotic Agents
Brigatinib,Antineoplastic Agents|Protein Kinase Inhibitors
Brincidofovir,Antiviral Agents
Brivaracetam,Anticonvulsants
Brodalumab,"Dermatologic Agents,|Psoriasis Agents|Monoclonal Antibodies"
Bromocriptine,Antiparkinson Agents
BrompheniramineChlor,Antihistamines
Buchu,Herbal and Dietary Supplements
Budesonide,"Hormones,|Corticosteroids"
Buprenorphine,Substance Abuse Treatment Agents|Opioids
Bupropion,Antidepressant Agents
Burosumab,"Genetic Disorder Agents,|Monoclonal Antibodies"
Buspirone,Sedatives and Hypnotics
Busulfan,Antineoplastic Agents|Alkylating Agents
Butorphanol,Opioids
Butterbur,Herbal and Dietary Supplements
Cabazitaxel,Antineoplastic Agents|Taxanes
Cabozantinib,Antineoplastic Agents|Protein Kinase Inhibitors
Caffeine,CNS Stimulants|Xanthine Derivatives
Canakinumab,Antirheumatic Agents
Candesartan,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Cangrelor,Antithrombotic Agents|Antiplatelet Agents
Cannabidiol,Anticonvulsants|Marijuana
Capecitabine,Antineoplastic Agents
Caplacizumab,Monoclonal Antibodies
Capreomycin,Antituberculosis Agents
Captopril,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Carbamazepine,Anticonvulsants
Carbinoxamine,Antihistamines
CarbonicAnhydraseInh,Diuretics
Carboplatin,Antineoplastic Agents|Alkylating Agents
CardiacGlycosides,Cardiac Glycosides
Carfilzomib,Antineoplastic Agents|Protein Kinase Inhibitors
CarglumicAcid,"Genetic Disorder Agents, Urea Cycle Disorder Agents (Hyperammonemia)"
Cariprazine,Antipsychotic Agents
Carisoprodol,Muscle Relaxants
Carmustine,Antineoplastic Agents|Alkylating Agents
Carvedilol,Beta-Adrenergic Receptor Antagonists
Cascara,Herbal and Dietary Supplements
Casimersen,Genetic Disorder Agents
CatsClaw,Herbal and Dietary Supplements
Ceftriaxone,"Antiinfective Agents,|Cephalosporins"
Celandine,Herbal and Dietary Supplements
Celecoxib,Nonsteroidal Antiinflammatory Drugs
Cemiplimab,Antineoplastic Agents|Monoclonal Antibodies
Cenobamate,Anticonvulsants
Ceritinib,Antineoplastic Agents|Protein Kinase Inhibitors
Certolizumab,Antirheumatic Agents
Cetirizine_Levocetir,Antihistamines
Cetuximab,Antineoplastic Agents|Monoclonal Antibodies
Cevimeline,"Sjögren Syndrome Agents, Cholinergic Agents"
Chamomile,Herbal and Dietary Supplements
Chaparral,Herbal and Dietary Supplements
ChasteTree,Herbal and Dietary Supplements
Chenodiol,Gastrointestinal Agents|Bile Acids
ChiRYun,Herbal and Dietary Supplements|Chinese and Other Asian Herbal Medicines
ChineseAndAsianHerbs,Herbal and Dietary Supplements
ChloralHydrate,Sedatives and Hypnotics
Chlorambucil,Antineoplastic Agents|Alkylating Agents
Chloramphenicol,Antiinfective Agents
Chlordiazepoxide,Benzodiazepines
Chloroquine,Antimalarial Agents|Hydroxychloroquine
Chlorpromazine,Gastrointestinal Agents;|Antipsychotic Agents
Chlorzoxazone,Muscle Relaxants
Cholestyramine,Antilipemic Agents|Bile Acid Resins/Sequestrants
CholicAcid,Gastrointestinal Agents|Bile Acids
Cidofovir,Antiviral Agents
Cilostazol,"Cardiovascular Drugs, Intermittent Claudication Agents"
Cimetidine,Antiulcer Agents
Ciprofloxacin,Antiinfective Agents
Cisplatin,Antineoplastic Agents|Alkylating Agents
CitalopramEscitalopr,Antidepressant Agents
Cladribine,Antineoplastic Agents
Clarithromycin,Antiinfective Agents|Macrolide Antibiotics
Clemastine,Antihistamines
Clindamycin,Antiinfective Agents
Clobazam,Anticonvulsants|Benzodiazepines
Clofarabine,Antineoplastic Agents
Clofazimine,Antiinfective Agents
Clofibrate,Antilipemic Agents|Fibrates
Clomiphene,Infertility Agents
Clomipramine,Antidepressant Agents
Clonazepam,Anticonvulsants|Benzodiazepines
Clonidine,Antihypertensive Agents|ADHD Agents
Clopidogrel,Antithrombotic Agents|Antiplatelet Agents
Clorazepate,Anticonvulsants|Benzodiazepines
Clotrimazole,Antifungal Agents
Clozapine,Antipsychotic Agents
Cobimetinib,Antineoplastic Agents|Protein Kinase Inhibitors
Cocaine,CNS Stimulants
Codeine,Opioids
Colchicine,Antigout Agents
Colesevelam,Antilipemic Agents|Bile Acid Resins/Sequestrants
Colestipol,Antilipemic Agents|Bile Acid Resins/Sequestrants
ColonyStimulatingFac,Hematologic Growth Factors
Comfrey,Herbal and Dietary Supplements
Copanlisib,Antineoplastic Agents|Protein Kinase Inhibitors
Copper,Trace Elements and Metals
Corticosteroids,COVID-19 Drugs
CovidMonoclonals,Monoclonal Antibodies
CovidVaccines,Antiviral Agents
Cranberry,Herbal and Dietary Supplements
Crizanlizumab,"Genetic Disorder Agents,|Monoclonal Antibodies|Sickle Cell Disease Agents"
Crizotinib,Antineoplastic Agents|Protein Kinase Inhibitors
Crofelemer,Gastrointestinal Agents|Herbal and Dietary Supplements
CyclizineChlorcycl,Antihistamines
Cyclobenzaprine,Muscle Relaxants
Cyclophosphamide,Antineoplastic Agents|Alkylating Agents
Cycloserine,Antituberculosis Agents
Cyclosporine,Transplant Agents|Antirheumatic Agents
Cyproheptadine,Antihistamines
Cyproterone,Antineoplastic Agents|Antiandrogens
Cysteamine,Genetic Disorder Agents
Cytarabine,Antineoplastic Agents
CytotoxicAntibiotics,Antineoplastic Agents
DPP4-inhibitors,Antidiabetic Agents
Dabigatran,Antithrombotic Agents|Anticoagulants
Dabrafenib,Antineoplastic Agents|Protein Kinase Inhibitors|Trametinib
Dacarbazine,Antineoplastic Agents|Alkylating Agents
Daclatasvir,Antiviral Agents|Hepatitis C Agents
Daclizumab,Monoclonal Antibodies|Transplant Agents
Dacomitinib,Antineoplastic Agents|Protein Kinase Inhibitors
Dactinomycin,Antineoplastic Agents
Dalfampridine,Multiple Sclerosis Agents
Dantrolene,Muscle Relaxants
Dapsone,Antiinfective Agents|Sulfonamides
Daptomycin,Antiinfective Agents
Daratumumab,Antineoplastic Agents|Monoclonal Antibodies
Darifenacin,Anticholinergic Agents
Darolutamide,Antineoplastic Agents|Antiandrogens
Darunavir,Antiviral Agents
Dasatinib,Antineoplastic Agents|Protein Kinase Inhibitors
Daunorubicin,Antineoplastic Agents
Decitabine,Antineoplastic Agents
Deferasirox,Hematological Agents;|Chelating Agents
Deferiprone,Hematological Agents;|Chelating Agents
Deferoxamine,Hematological Agents;|Chelating Agents
Defibrotide,Antithrombotic Agents
Degarelix,Antineoplastic Agents|GnRH Analogues
Delafloxacin,Antiinfective Agents
Delavirdine,Antiviral Agents
Demeclocycline,Antiinfective Agents|Tetracyclines
DenileukinDiftitox,Antineoplastic Agents
Denosumab,Osteoporosis Agents;|Monoclonal Antibodies
Desflurane,Halogenated Anesthetics
Desipramine,Antidepressant Agents
Desirudin,Antithrombotic Agents|Anticoagulants
DiazepamIV,Anticonvulsants|Diazepam (Oral)
DiazepamOral,Benzodiazepines|Diazepam (Intravenous)
Diclofenac,Nonsteroidal Antiinflammatory Drugs
Dicloxacillin,Penicillin (Penicillinase-Resistant)
Dicyclomine,Anticholinergic Agents
Didanosine,Antiviral Agents
Diethylpropion,Weight Loss Agents
Diflunisal,Salicylates|Nonsteroidal Antiinflammatory Drugs
Diltiazem,"Cardiovascular Agents,|Antihypertensive Agents|Calcium Channel Blockers"
Dimenhydrinate,Antihistamines
Dimercaprol,Chelating Agents|Wilson Disease Agents
DimethylFumarate,Multiple Sclerosis Agents
Dinutuximab,Antineoplastic Agents|Monoclonal Antibodies
Diphenhydramine,Antihistamines
Diphenoxylate,Gastrointestinal Agents|Opioids
Dipyridamole,Antithrombotic Agents|Antiplatelet Agents
Disopyramide,Antiarrhythmic Agents
Disulfiram,Substance Abuse Treatment Agents
Docetaxel,Antineoplastic Agents|Taxanes
Docusate,"Gastrointestinal Agents, Cathartics and Laxatives"
Dofetilide,Antiarrhythmic Agents
Dolutegravir,Antiviral Agents
Donepezil,Alzheimer Disease Agents
Doravirine,Antiviral Agents
Doripenem,Antiinfective Agents|Carbapenems
Dostarlimab,Antineoplastic Agents|Monoclonal Antibodies
Doxazosin,Antihypertensive Agents|Benign Prostatic Hypertrophy Agents
Doxepin,Antidepressant Agents
DoxorubicinEpirubici,Antineoplastic Agents
Doxycycline,Antiinfective Agents|Tetracyclines
Doxylamine,Antihistamines
Dronabinol,Gastrointestinal Agents|Antiemetics
Dronedarone,Antiarrhythmic Agents
DrotrecoginAlfa,Antithrombotic Agents
Droxidopa,Antiparkinson Agents
Dulaglutide,Antidiabetic Agents
Duloxetine,Antidepressant Agents
Dupilumab,"Dermatologic Agents,|Monoclonal Antibodies"
Durvalumab,Antineoplastic Agents|Monoclonal Antibodies
Dutasteride,Benign Prostatic Hypertrophy Agents|5-Alpha Reductase Inhibitors
Duvelisib,Antineoplastic Agents|Protein Kinase Inhibitors
Echinacea,Herbal and Dietary Supplements
Echinocandins,Antifungal Agents
Eculizumab,"Hematologic Agents,|Monoclonal Antibodies"
Edaravone,Alzheimer Disease Agents
Edoxaban,Antithrombotic Agents|Anticoagulants
Efalizumab,Monoclonal Antibodies
Efavirenz,Antiviral Agents
Elagolix,"Obstetrical and Gynecological Agents, Gonadotropin Releasing Hormone Antagonists"
Eliglustat,Gaucher Disease Agents
Elotuzumab,Antineoplastic Agents|Monoclonal Antibodies
Eluxadoline,Gastrointestinal Agents
Elvitegravir_Cobicis,Antiviral Agents
Emapalumab,"Hematologic Agents,|Monoclonal Antibodies"
EmergencyContracepti,"Obstetrical and Gynecological Agents, Emergency Contraceptive Agents"
Emicizumab,"Hematologic Agents,|Monoclonal Antibodies"
Emtricitabine,Antiviral Agents
Enalapril,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Enasidenib,Antineoplastic Agents|Protein Kinase Inhibitors
EncorafenibBinimetin,Antineoplastic Agents|Protein Kinase Inhibitors
EndothelinRcptAntag,Pulmonary Arterial Hypertension Agents
EnergyDrinks,CNS Stimulants|Xanthine Derivatives
Enflurane,Halogenated Anesthetics
Enfuvirtide,Antiviral Agents
Entacapone,Parkinson Disease Agents
Entecavir,Antiviral Agents
Entrectinib,Antineoplastic Agents|Tyrosine Kinase Inhibitors
Enzalutamide,Antineoplastic Agents|Antiandrogens
EnzymeReplacementThe,Genetic Disorder Agents;|Gaucher Disease Agents|Sebelipase alfa
Ephedra,Herbal and Dietary Supplements
Eplerenone,Diuretics
Eprosartan,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Eptinezumab,Monoclonal Antibodies|Migraine Headache Agents
Eravacycline,Antiinfective Agents|Tetracyclines
Erdafitinib,Antineoplastic Agents|Protein Kinase Inhibitors
Erenumab,Migraine Headache Agents|Monoclonal Antibodies
ErgotAlkaloids,Migraine Headache Agents
Eribulin,Antineoplastic Agents
Erlotinib,Antineoplastic Agents|Protein Kinase Inhibitors
Ertapenem,Antiinfective Agents|Carbapenems
Erythromycin,Antiinfective Agents|Macrolide Antibiotics
ErythropoiesisStimul,Hematologic Growth Factors
Esketamine,Antidepressant Agents
Eslicarbazepine,Anticonvulsants
Esmolol,Beta-Adrenergic Receptor Antagonists
Estazolam,Sedatives and Hypnotics|Benzodiazepines
Eszopiclone,Sedatives and Hypnotics
Etanercept,Antirheumatic Agents
Eteplirsen,Genetic Disorder Agents
Ethambutol,Antituberculosis Agents
Ethionamide,Antituberculosis Agents
Ethosuximide,Anticonvulsants
Etodolac,Nonsteroidal Antiinflammatory Drugs
EtoposideTeniposide,Antineoplastic Agents
Etravirine,Antiviral Agents
Eugenol,Herbal and Dietary Supplements
Everolimus,Antineoplastic Agents|Transplant Agents
Evinacumab,Monoclonal Antibodies|Antilipemic Agents
Evolocumab,Antilipemic Agents|Monoclonal Antibodies
Exemestane,Antineoplastic Agents|Aromatase Inhibitors
Exenatide,Antidiabetic Agents
Ezetimibe,Antilipemic Agents
Ezogabine,Anticonvulsants
Famciclovir,Antiviral Agents
Famotidine,Antiulcer Agents
Febuxostat,Antigout Agents
Fedratinib,Antineoplastic Agents|Protein Kinase Inhibitors
Felbamate,Anticonvulsants
Felodipine,"Cardiovascular Agents,|Calcium Channel Blockers"
Fenofibrate,Antilipemic Agents|Fibrates
Fenoprofen,Nonsteroidal Antiinflammatory Drugs
FentanylAndAnalogues,Opioids
Fenugreek,Herbal and Dietary Supplements
Fesoterodine,Anticholinergic Agents
Fexofenadine,Antihistamines
Fibrates,Antilipemic Agents
Fidaxomicin,Antiinfective Agents|Macrolide Antibiotics
Finasteride,Benign Prostatic Hypertrophy Agents|5-Alpha Reductase Inhibitors
Fingolimod,Multiple Sclerosis Agents
Flavocoxid,Herbal and Dietary Supplements|Antirheumatic Agents
Flavoxate,Anticholinergic Agents
Flecainide,Antiarrhythmic Agents
Flibanserin,Antidepressant Agents
Floxuridine,Antineoplastic Agents
Fluconazole,Antifungal Agents
Flucytosine,Antifungal Agents
Fludarabine,Antineoplastic Agents
Fluorouracil,Antineoplastic Agents
Fluoxetine,Antidepressant Agents
Fluphenazine,Antipsychotic Agents
Flurazepam,Sedatives and Hypnotics|Benzodiazepines
Flurbiprofen,Nonsteroidal Antiinflammatory Drugs
Flutamide,Antineoplastic Agents|Antiandrogens
Fluvastatin,Antilipemic Agents
Fluvoxamine,Antidepressant Agents|COVID-19 Drugs
FolicAcid,Vitamins
Fondaparinux,Antithrombotic Agents|Anticoagulants
Foscarnet,Antiviral Agents
Fosfomycin,Antiinfective Agents
Fosinopril,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Fosphenytoin,Anticonvulsants|Phenytoin
Fostamatinib,"Hematologic Growth Factors,|Protein Kinase Inhibitors"
Fremanezumab,Migraine Headache Agents|Monoclonal Antibodies
FstGenSulfonylureas,Antidiabetic Agents
Fulvestrant,Antineoplastic Agents
Futibatinib,Antineoplastic Agents|Protein Kinase Inhibitors
GLP-1Analogues,Antidiabetic Agents
Gabapentin,Anticonvulsants
GabapentinEnacarbil,Anticonvulsants
Galantamine,Alzheimer Disease Agents
Galcanezumab,Migraine Headache Agents|Monoclonal Antibodies
GanciclovirValganc,Antiviral Agents
GarciniaCambogia,Herbal and Dietary Supplements
Gefitinib,Antineoplastic Agents|Protein Kinase Inhibitors
Gemcitabine,Antineoplastic Agents
Gemfibrozil,Antilipemic Agents|Fibrates
Gemifloxacin,Antiinfective Agents
GemtuzumabOzogamicin,Antineoplastic Agents|Monoclonal Antibodies
GeneralAnesthetics,"Anesthetics, General"
Gentamicin,Aminoglycosides
Germander,Herbal and Dietary Supplements
Gilteritinib,Antineoplastic Agents|Protein Kinase Inhibitors
Ginkgo,Herbal and Dietary Supplements
Ginseng,Herbal and Dietary Supplements
Givosiran,Genetic Disorder Agents
Glasdegib,Antineoplastic Agents|Protein Kinase Inhibitors
GlatiramerAcetate,Multiple Sclerosis Agents
Glucocerebrosidase,Gaucher Disease Agents|Enzyme Replacement Therapy
Glucosamine,Herbal and Dietary Supplements
GlycopeptideAntibiot,Antiinfective Agents
Glycopyrrolate,Gastrointestinal Agents|Anticholinergic Agents
GnRHAnalogues,Antineoplastic Agents
Gold_Preparations,Antirheumatic Agents
Golimumab,Antirheumatic Agents|Tumor Necrosis Factor Antagonists|Gastrointestinal Agents|Monoclonal Antibodies
Golodirsen,Genetic Disorder Agents
Gonadotropins,"Obstetrical and Gynecological Agents,|Infertility Agents"
Goserelin,Antineoplastic Agents|GnRH Analogues
GrapeSeed,Herbal and Dietary Supplements
GreenTea,Herbal and Dietary Supplements
Griseofulvin,Antifungal Agents
Guanfacine,Antihypertensive Agents|ADHD Agents
Guarana,Herbal and Dietary Supplements
Guselkumab,"Dermatologic Agents,|Psoriasis Agents|Monoclonal Antibodies"
H2ReceptorBlockers,Antiulcer Agents
HCVProteaseInhibitor,Antiviral Agents|Hepatitis C Agents
Haloperidol,Antipsychotic Agents
Halothane,Halogenated Anesthetics
Hawthorn,Herbal and Dietary Supplements
HematologicGrowthFac,Hematologic Growth Factors
Heparin,Antithrombotic Agents|Anticoagulants
Heparins,Antithrombotic Agents|Anticoagulants
Herbalife,Herbal and Dietary Supplements
HerionOpium,Opioids
Histrelin,Antineoplastic Agents|GnRH Analogues
Hoodia,Herbal and Dietary Supplements
Hops,Herbal and Dietary Supplements
HornyGoatWeed,Herbal and Dietary Supplements
HorseChestnut,Herbal and Dietary Supplements
Horsetail,Herbal and Dietary Supplements
Hydralazine,Antihypertensive Agents
Hydrocodone,Opioids
HydromorphoneOxymorp,Opioids
Hydroxychloroquine,Antirheumatic Agents
Hydroxycut,Herbal and Dietary Supplements
Hydroxyurea,Antineoplastic Agents|Hematologic|Sickle Cell Disease Agents
Hydroxyzine,Antihistamines
Hyoscyamine,Gastrointestinal Agents|Anticholinergic Agents
Hyssop,Herbal and Dietary Supplements
Ibalizumab,Antiviral Agents|Monoclonal Antibodies
Ibrutinib,Antineoplastic Agents|Protein Kinase Inhibitors
Ibuprofen,Nonsteroidal Antiinflammatory Drugs
Idelalisib,Antineoplastic Agents|Protein Kinase Inhibitors
Ifosfamide,Antineoplastic Agents|Alkylating Agents|Cyclophosphamide
Iloperidone,Antipsychotic Agents
Imatinib,Antineoplastic Agents|Protein Kinase Inhibitors
Imipenemcilastatin,Antiinfective Agents|Carbapenems
Imipramine,Antidepressant Agents
Inclisiran,"Genetic Disorder Agents,|Antilipemic Agents"
IncretinBasedDrugs,Antidiabetic Agents
Indinavir,Antiviral Agents
Indomethacin,Nonsteroidal Antiinflammatory Drugs
Infigratinib,Antineoplastic Agents|Protein Kinase Inhibitors
Infliximab,Antirheumatic Agents
InotuzumabOzogamicin,Antineoplastic Agents|Monoclonal Antibodies
Insulin,Hormonal Agents;|Antidiabetic Agents
Interferon,"Cytokine/Biologic Response Modifier,|Multiple Sclerosis Agents"
InterferonGamma,Antineoplastic Agents
Ipilimumab,Antineoplastic Agents|Monoclonal Antibodies
Ipratropium,Anticholinergic Agents
Irbesartan,Antihypertensive Agents|Angiotensin II Receptor Antagonists
IrinotecanTopotecan,Antineoplastic Agents
Iron,Trace Elements and Metals
Isavuconazonium,Antifungal Agents
Isocarboxazid,Antidepressant Agents
Isoflurane,Halogenated Anesthetics
Isoniazid,Antituberculosis Agents
Isotretinoin,Dermatologic Agents;|Vitamins
Isradipine,"Cardiovascular Agents,|Calcium Channel Blockers"
Istradefylline,Parkinson Disease Agents
Itraconazole,Antifungal Agents
Ivabradine,Antiarrhythmic Agents
IvacaftorLumacaftor,Genetic Disorder Agents
Ivermectin,Anthelmintic Agents
Ivosidenib,Antineoplastic Agents|Protein Kinase Inhibitors
Ixabepilone,Antineoplastic Agents
Ixazomib,Antineoplastic Agents|Protein Kinase Inhibitors
Ixekizumab,"Dermatologic Agents,|Psoriasis Agents|Monoclonal Antibodies"
JinBuHuan,Herbal and Dietary Supplements|Chinese and Other Asian Herbal Medicines
KavaKava,Herbal and Dietary Supplements
Ketamine,"Anesthetics, General"
Ketoconazole,Antifungal Agents
Ketoprofen,Nonsteroidal Antiinflammatory Drugs
Ketorolac,Nonsteroidal Antiinflammatory Drugs
Khat,Agents of Abuse;|Herbals and Dietary Supplements
Kratom,Herbal and Dietary Supplements
L-Glutamine,"Genetic Disorder Agents,|Hematologic|Sickle Cell Disease Agents"
LMW-Heparins,Antithrombotic Agents|Anticoagulants
Labetalol,Beta-Adrenergic Receptor Antagonists
Lacosamide,Anticonvulsants
Lamivudine,Antiviral Agents
Lamotrigine,Anticonvulsants
Lanadelumab,"Hematologic Agents,|Monoclonal Antibodies"
Lanreotide,Hormonal Agents;|Antineoplastic Agents|Gastrointestinal Agents
Lansoprazole,Antiulcer Agents
Lapatinib,Antineoplastic Agents|Protein Kinase Inhibitors
Larotrectinib,Antineoplastic Agents|Protein Kinase Inhibitors
Lasmiditan,Migraine Headache Agents
Lavender,Herbal and Dietary Supplements
Lecanemab,Monoclonal Antibodies|Alzheimer Disease Agents
Lefamulin,Antiinfective Agents
Leflunomide,Antirheumatic Agents
Lemborexant,Sedatives and Hypnotics
Lenalidomide,Antineoplastic Agents
Lenvatinib,Antineoplastic Agents|Protein Kinase Inhibitors
Lesinurad,Antigout Agents
Letermovir,Antiviral Agents
Letrozole,Antineoplastic Agents|Aromatase Inhibitors
LeukotrieneRcptAntag,Antiasthmatic Agents
Leuprolide,Antineoplastic Agents|GnRH Analogues
Levetiracetam,Anticonvulsants
LevodopaCarbodopa,Parkinson Disease Agents
Levofloxacin,Antiinfective Agents
Levorphanol,Opioids
Licorice,Herbal and Dietary Supplements
Linaclotide,Gastrointestinal Agents
Linagliptin,Antidiabetic Agents|Incretin-Based Drugs
Linezolid,Antiinfective Agents
Liraglutide,Antidiabetic Agents
Lisinopril,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Lithium,Antipsychotic Agents|Trace Elements and Metals
Lixisenatide,Antidiabetic Agents
