drug name,drug class
Eslicarbazepine,drug class is Breast Feeding and Lactation and Anticonvulsants.generate smile image.
Levomilnacipran,drug class is Breast Feeding and Lactation and Milk  Human and Adrenergic Uptake Inhibitors and Antidepressive Agents and Serotonin Uptake Inhibitors.generate smile image.
Mipomersen,drug class is Breast Feeding and Lactation and Milk  Human and Anticholesteremic Agents and Antilipemic Agents.generate smile image.
Etoposide,drug class is Breast Feeding and Lactation and Antineoplastic Agents.generate smile image.
Floxacillin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Penicillins.generate smile image.
Lormetazepam,drug class is Breast Feeding and Lactation and Milk  Human and Hypnotics and Sedatives and Anti-Anxiety Agents and Benzodiazepines.generate smile image.
Flunitrazepam,drug class is Breast Feeding and Lactation and Milk  Human and Hypnotics and Sedatives and Anti-Anxiety Agents and Benzodiazepines.generate smile image.
Nitrazepam,drug class is Breast Feeding and Lactation and Milk  Human and Hypnotics and Sedatives and Anti-Anxiety Agents and Benzodiazepines.generate smile image.
Benznidazole,drug class is Breast Feeding and Lactation and Antiparasitic Agents and Antiprotozoal Agents and itroimidazoles and Trypanocidal Agents.generate smile image.
Felodipine,drug class is Breast Feeding and Lactation and Antihypertensive Agents and Calcium Channel Blockers and Vasodilator Agents.generate smile image.
Ulipristal,drug class is Breast Feeding and Lactation and Milk  Human and Contraceptive Agents and Contraceptives  Postcoital and Contraceptive Agents  Female.generate smile image.
Prednicarbate,drug class is Breast Feeding and Lactation and Corticosteroids  Topical.generate smile image.
Clocortolone Pivalate,drug class is Breast Feeding and Lactation and Corticosteroids  Topical.generate smile image.
Malathion,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antiparasitic Agents and Insecticides.generate smile image.
Sevelamer,drug class is Breast Feeding and Lactation and Chelating Agents.generate smile image.
Thioguanine,drug class is Breast Feeding and Lactation and Antimetabolites and Antineoplastic Agents.generate smile image.
Oxymorphone,drug class is Breast Feeding and Lactation and Milk  Human and Analgesics  Opioid; Narcotics.generate smile image.
Tofacitinib,drug class is Breast Feeding and Lactation and Antirheumatic Agents and Enzyme Inhibitors and Janus Kinase Inhibitors and JAK Inhibitors and Signal Transduction Inhibitors and Protein Kinase Inhibitors.generate smile image.
Fenoprofen,drug class is Breast Feeding and Lactation and Analgesic Agents and Nonsteroidal Antiinflammatory Agents.generate smile image.
Temsirolimus,drug class is Breast Feeding and Lactation and Immunosuppressive Agents.generate smile image.
Tazarotene,drug class is Breast Feeding and Lactation and Milk  Human and Dermatologic Agents and Keratolytic Agents.generate smile image.
Perflutren,drug class is Breast Feeding and Lactation and Milk  Human and Contrast Media and Diagnostic Agents and Fluorocarbons and Gases.generate smile image.
Sulfur Hexafluoride,drug class is Breast Feeding and Lactation and Milk  Human and Contrast Media and Diagnostic Agents and Fluorides and Gases.generate smile image.
Salicylic Acid,drug class is Breast Feeding and Lactation and Dermatologic Agents and Anti-Infective Agents and Antifungal Agents and Keratolytic Agents.generate smile image.
Fexofenadine,drug class is Breast Feeding and Lactation and Antihistamines and Nonsedating Antihistamines.generate smile image.
Xenon,drug class is Breast Feeding and Lactation and Anesthetics  Inhalation and Elements and Gases.generate smile image.
Pancuronium,drug class is Breast Feeding and Lactation and Muscle Relaxants and Neuromuscular Nondepolarizing Agents.generate smile image.
Atracurium,drug class is Breast Feeding and Lactation and Milk  Human and Muscle Relaxants and Neuromuscular Nondepolarizing Agents.generate smile image.
Cisatracurium,drug class is Breast Feeding and Lactation and Milk  Human and Muscle Relaxants and Neuromuscular Nondepolarizing Agents.generate smile image.
Rocuronium,drug class is Breast Feeding and Lactation and Muscle Relaxants and Neuromuscular Nondepolarizing Agents.generate smile image.
Apazone,drug class is Breast Feeding and Lactation and Anti-Inflammatory Agents  Non-Steroidal and Uricosuric Agents.generate smile image.
Telavancin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Glycopeptides and Lipoglycopeptides.generate smile image.
Tedizolid,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents.generate smile image.
Flecainide,drug class is Breast Feeding and Lactation and Milk  Human and Antiarrhythmics.generate smile image.
Dalbavancin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Anti-Bacterial Agents and Glycopeptides and Lipoglycopeptides.generate smile image.
Oritavancin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Anti-Bacterial Agents and Glycopeptides and Lipoglycopeptides.generate smile image.
Dihydrocodeine,drug class is Breast Feeding and Lactation and Milk  Human and Analgesic  Opioid and Narcotics and Antitussive Agents.generate smile image.
Dacarbazine,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Antineoplastic Agents  Alkylating.generate smile image.
Vinorelbine,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Antimitotic Agents.generate smile image.
Bleomycin,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Antibiotics  Antineoplastic.generate smile image.
Vinblastine,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Antimitotic Agents.generate smile image.
Thallous Chloride Tl 201,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Thallium Radioisotopes and Diagnostic Agents.generate smile image.
Flunisolide,drug class is Breast Feeding and Lactation and Milk  Human and Anti-Allergic Agents and Anti-Asthmatic Agents and Corticosteroids  Inhaled and Glucocorticoids and Anti-Inflammatory Agents.generate smile image.
Samarium Sm 153 Lexidronam Pentasodium,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Samarium Radioisotopes.generate smile image.
Flutemetamol F 18,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Fluorine Radioisotopes and Diagnostic Agents.generate smile image.
Sodium Fluoride F 18,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Fluoride Radioisotopes and Diagnostic Agents.generate smile image.
Iothalamate Sodium I 125,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Iodine Radioisotopes and Diagnostic Agents.generate smile image.
Sodium Phosphate P 32,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Phosphorus Radioisotopes.generate smile image.
Corticotropin,drug class is Breast Feeding and Lactation and Adrenocorticotropic Hormone and ACTH.generate smile image.
Calcitonin,drug class is Breast Feeding and Lactation and Bone Density Conservation Agents and Neuropeptides and Peptide Hormones.generate smile image.
Fluocinonide,drug class is Breast Feeding and Lactation and Corticosteroids  Topical and Glucocorticoids and Anti-Inflammatory Agents.generate smile image.
Yttrium 90 Ibritumomab Tiuxetan,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Yttrium Radioisotopes.generate smile image.
Urea C 14,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Carbon Radioisotopes and Urea and Diagnostic Agents.generate smile image.
Iocanlidic Acid I 123,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Iodine Radioisotopes and Diagnostic Agents.generate smile image.
Water O 15,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Oxygen Radioisotopes and Diagnostic Agents.generate smile image.
Technetium Tc 99m Mebrofenin,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Technetium Compounds and Diagnostic Agents.generate smile image.
Yttrium Y 90,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Yttrium Radioisotopes.generate smile image.
Phosphorus P 32,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Phosphorus Radioisotopes.generate smile image.
Florbetapir F 18,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Fluorine Radioisotopes and Diagnostic Agents.generate smile image.
Fluocinolone,drug class is Breast Feeding and Lactation and Milk  Human and Corticosteroids  Topical and Glucocorticoids and Anti-Inflammatory Agents.generate smile image.
Indium In 111 Pentetate,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Indium Radioisotopes and Diagnostic Agents.generate smile image.
Phencyclidine,drug class is Breast Feeding and Lactation and Excitatory Amino Acid Antagonists and Hallucinogens and Street Drugs.generate smile image.
Fluphenazine,drug class is Breast Feeding and Lactation and Milk  Human and Antipsychotic Agents and Phenothiazines.generate smile image.
Vilanterol,drug class is Breast Feeding and Lactation and Beta Adrenergic Agonists and Bronchodilator Agents.generate smile image.
Teriflunomide,drug class is Breast Feeding and Lactation and Immunosuppressive Agents.generate smile image.
Dimethyl Fumarate,drug class is Breast Feeding and Lactation and Milk  Human and Dermatologic Agents and Immunosuppressive Agents and Radiation-Sensitizing Agents.generate smile image.
Methoxsalen,drug class is Breast Feeding and Lactation and Dermatologic Agents and Photosensitizing Agents and Coumarins and Furocoumarins and Psoralens and PUVA Therapy.generate smile image.
Apixaban,drug class is Breast Feeding and Lactation and Anticoagulants and Antithrombins.generate smile image.
Rivaroxaban,drug class is Breast Feeding and Lactation and Anticoagulants and Antithrombins.generate smile image.
Flurandrenolide,drug class is Breast Feeding and Lactation and Corticosteroids  Topical and Glucocorticoids and Anti-Inflammatory Agents.generate smile image.
Dabigatran,drug class is Breast Feeding and Lactation and Anticoagulants and Antithrombins.generate smile image.
Perampanel,drug class is Breast Feeding and Lactation and Anticonvulsants.generate smile image.
Lacosamide,drug class is Breast Feeding and Lactation and Milk  Human and Anticonvulsants.generate smile image.
Brexpiprazole,drug class is Breast Feeding and Lactation and Antipsychotic Agents and Serotonin Agents and Dopamine Agonists.generate smile image.
Ramelteon,drug class is Breast Feeding and Lactation and Milk  Human and Central Nervous System Depressants.generate smile image.
Flurbiprofen,drug class is Breast Feeding and Lactation and Analgesic Agents and Nonsteroidal Antiinflammatory Agents.generate smile image.
Ferric Pyrophosphate Citrate,drug class is Breast Feeding and Lactation and Ferric Compounds and Hematinics and Iron Compounds.generate smile image.
Ferumoxytol,drug class is Breast Feeding and Lactation and Contrast Media and Ferric Compounds and Hematinics and Iron Compounds.generate smile image.
Dexmethylphenidate,drug class is Breast Feeding and Lactation and Milk  Human and Adrenergic Agents and Central Nervous System Stimulants and Dopamine Agents and Sympathomimetics and Wakefulness-Promoting Agents.generate smile image.
Fosphenytoin,drug class is Breast Feeding and Lactation and Anticonvulsants.generate smile image.
Fospropofol,drug class is Breast Feeding and Lactation and Anesthetics  Intravenous and Hypnotics and Sedatives.generate smile image.
Paromomycin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Amebicides and Anti-Bacterial Agents and Aminoglycosides.generate smile image.
Desirudin,drug class is Breast Feeding and Lactation and Anticoagulants.generate smile image.
Bivalirudin,drug class is Breast Feeding and Lactation and Anticoagulants and Antithrombins.generate smile image.
Argatroban,drug class is Breast Feeding and Lactation and Anticoagulants and Antithrombins.generate smile image.
Fondaparinux,drug class is Breast Feeding and Lactation and Anticoagulants.generate smile image.
Olodaterol,drug class is Breast Feeding and Lactation and Anti-Asthmatic Agents and Beta Adrenergic Agonists and Bronchodilator Agents.generate smile image.
Heroin,drug class is Breast Feeding and Lactation and Analgesics  Opioid and Narcotics and Street Drugs.generate smile image.
Technetium Tc 99m Gluconate,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Technetium Compounds and Diagnostic Agents.generate smile image.
Formoterol,drug class is Breast Feeding and Lactation and Milk  Human and Anti-Asthmatic Agents and Bronchodilator Agents and Beta Adrenergic Agonists.generate smile image.
Nitrogen-13,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Nitrogen Radioisotopes and Diagnostic Agents.generate smile image.
(1-14C)-Triolein,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Carbon Radioisotopes and Diagnostic Agents.generate smile image.
(14C)-Glycocholic Acid,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Carbon Radioisotopes and Diagnostic Agents.generate smile image.
Oxygen-15,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Oxygen Radioisotopes and Diagnostic Agents.generate smile image.
d-Xylose C14,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Carbon Radioisotopes and Diagnostic Agents.generate smile image.
Ondansetron,drug class is Breast Feeding and Lactation and Milk  Human and Antiemetics and Gastrointestinal Agents and Serotonin Antagonists and Serotonin 5-HT3 Receptor Antagonists.generate smile image.
Nilotinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Dasatinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Lisuride,drug class is Breast Feeding and Lactation and Antiparkinson Agents and Dopamine Agonists and Serotonin Receptor Agonists.generate smile image.
Furosemide,drug class is Breast Feeding and Lactation and Milk  Human and Antihypertensive Agents and Loop Diuretics.generate smile image.
Deferoxamine,drug class is Breast Feeding and Lactation and Chelating Agents and Iron Chelating Agents.generate smile image.
Deferasirox,drug class is Breast Feeding and Lactation and Chelating Agents and Iron Chelating Agents.generate smile image.
Deferiprone,drug class is Breast Feeding and Lactation and Milk  Human and Chelating Agents and Iron Chelating Agents.generate smile image.
Cladribine,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Immunosuppressive Agents.generate smile image.
Elbasvir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and NS5A Inhibitors.generate smile image.
Dasabuvir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents.generate smile image.
Daclatasvir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and NS5A Inhibitors.generate smile image.
Grazoprevir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and Protease Inhibitors.generate smile image.
Ombitasvir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and NS5A Inhibitors.generate smile image.
Gatifloxacin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Quinolones and Fluoroquinolones.generate smile image.
Ledipasvir,drug class is Breast Feeding and Lactation and Antiviral Agents and NS5A Inhibitors.generate smile image.
Paritaprevir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and Protease Inhibitors.generate smile image.
Sofosbuvir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and Nucleotides.generate smile image.
Simeprevir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and Protease Inhibitors.generate smile image.
Gallium Ga 68 Dotatate,drug class is Breast Feeding and Lactation and Diagnostic Agents and Radiopharmaceuticals and Gallium Radioisotopes.generate smile image.
Gentamicin,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Aminoglycosides.generate smile image.
Vortioxetine,drug class is Breast Feeding and Lactation and Milk  Human and Antidepressive Agents and Serotonin Uptake Inhibitors and Serotonin 5-HT1 Receptor Agonists and Serotonin 5-HT1 Receptor Antagonists and Serotonin 5-HT3 Receptor Antagonists.generate smile image.
Fesoterodine,drug class is Breast Feeding and Lactation and Muscarinic Antagonists and Parasympatholytics.generate smile image.
Velpatasvir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and NS5A Inhibitors.generate smile image.
Carfilzomib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors.generate smile image.
Glimepiride,drug class is Breast Feeding and Lactation and Hypoglycemic Agents and Sulfonylurea Compounds.generate smile image.
Bosutinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Axitinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Afatinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Ibrutinib,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors.generate smile image.
Glipizide,drug class is Breast Feeding and Lactation and Hypoglycemic Agents and Sulfonylurea Compounds.generate smile image.
Ponatinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Osimertinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors.generate smile image.
Lenvatinib,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Tyrosine Kinase Inhibitors.generate smile image.
Ruxolitinib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors and Janus Kinase Inhibitors and JAK Inhibitors.generate smile image.
Vismodegib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors and Signal Transduction Inhibitors.generate smile image.
Linaclotide,drug class is Breast Feeding and Lactation and Milk  Human and Gastrointestinal Agents and Peptides and Guanylate Cyclase C Agonists and Laxatives.generate smile image.
Irinotecan,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Topoisomerase I Inhibitors.generate smile image.
Ezogabine,drug class is Breast Feeding and Lactation and Anticonvulsants.generate smile image.
Brivaracetam,drug class is Breast Feeding and Lactation and Anticonvulsants.generate smile image.
Chlordiazepoxide,drug class is Breast Feeding and Lactation and Milk  Human and Hypnotics and Sedatives and Anti-Anxiety Agents and Benzodiazepines.generate smile image.
Capecitabine,drug class is Breast Feeding and Lactation and Antimetabolites and Antimetabolites  Antineoplastic and Antineoplastic Agents.generate smile image.
Olaparib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Signal Transduction Inhibitors and PARP inhibitors.generate smile image.
Temozolamide,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Antineoplastic Agents  Alkylating.generate smile image.
Dexmedetomidine,drug class is Breast Feeding and Lactation and Milk  Human and Hypnotics and Sedatives and Anesthetics  Intravenous and Adrenergic alpha-2 Receptor Agonists and Analgesics.generate smile image.
Amoxicillin,drug class is Breast Feeding and Lactation and Anti-infective Agents and Antibacterial Agents and Penicillins.generate smile image.
Fusidic Acid,drug class is Breast Feeding and Lactation and Antibacterial Agents and Anti-Infective Agents and Protein Synthesis Inhibitors.generate smile image.
Teicoplanin,drug class is Breast Feeding and Lactation and Antibacterial Agents and Anti-Infective Agents and Glycopeptides.generate smile image.
Magnesium Aspartate,drug class is Breast Feeding and Lactation and Magnesium Compounds.generate smile image.
Ferric Derisomaltose,drug class is Breast Feeding and Lactation and Milk  Human and Ferric Compounds and Hematinics and Iron Compounds.generate smile image.
Halobetasol,drug class is Breast Feeding and Lactation and Corticosteroids  Topical and Glucocorticoids and Anti-Inflammatory Agents.generate smile image.
Docetaxel,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Antimitotic Agents and Tubulin Modulators.generate smile image.
Piritramide,drug class is Breast Feeding and Lactation and Milk  Human and Analgesics  Opioid and Narcotics.generate smile image.
Rucaparib,drug class is Breast Feeding and Lactation and Milk  Human and Antineoplastic Agents and Enzyme Inhibitors and Signal Transduction Inhibitors and PARP Inhibitors.generate smile image.
Midostaurin,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Protein Kinase Inhibitors.generate smile image.
Haloperidol,drug class is Breast Feeding and Lactation and Milk  Human and Antipsychotic Agents and Butyrophenones.generate smile image.
Glycolic Acid,drug class is Breast Feeding and Lactation and Dermatologic Agents and Keratolytic Agents.generate smile image.
Trichloroacetic Acid,drug class is Breast Feeding and Lactation and Dermatologic Agents and Keratolytic Agents.generate smile image.
Voxilaprevir,drug class is Breast Feeding and Lactation and Milk  Human and Antiviral Agents and NS3/4A Inhibitors.generate smile image.
Heparin,drug class is Breast Feeding and Lactation and Anticoagulants.generate smile image.
Vitamin K,drug class is Breast Feeding and Lactation and Milk  Human and Vitamins and Antifibrinolytic Agents.generate smile image.
Delafloxacin,drug class is Breast Feeding and Lactation and Fluoroquinolones and Quinolones.generate smile image.
Sugammadex,drug class is Breast Feeding and Lactation and Milk  Human and Antidotes and Gamma-Cyclodextrins and Neuromuscular Blockade.generate smile image.
Enasidenib,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Enzyme Inhibitors and Isocitrate Dehydrogenase Inhibitors.generate smile image.
Intrauterine Levonorgestrel,drug class is Breast Feeding and Lactation and Milk  Human and Contraceptive Agents  Female and Contraceptives  Oral  Synthetic.generate smile image.
Levonorgestrel Implant,drug class is Breast Feeding and Lactation and Milk  Human and Contraceptive Agents  Female.generate smile image.
Carmustine,drug class is Breast Feeding and Lactation and Antineoplastic Agents  Alkylating and Nitrosourea Compounds.generate smile image.
Florbetaben F 18,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Fluoride Radioisotopes and Diagnostic Agents.generate smile image.
Flavoxate,drug class is Breast Feeding and Lactation and Muscarinic Antagonists and Parasympatholytics and Urological Agents.generate smile image.
Ferric Citrate,drug class is Breast Feeding and Lactation and Chelating Agents and Ferric Compounds and Hematinics and Iron Compounds.generate smile image.
Letrozole,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Aromatase Inhibitors.generate smile image.
Secnidazole,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antiprotozoal Agents and Nitroimidazoles.generate smile image.
Hepatitis B Vaccine,drug class is Breast Feeding and Lactation and Vaccines.generate smile image.
Riluzole,drug class is Breast Feeding and Lactation and Excitatory Amino Acid Antagonists and Neuroprotective Agents.generate smile image.
Ganciclovir,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antiviral Agents.generate smile image.
Valganciclovir,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antiviral Agents.generate smile image.
Amiloride,drug class is Breast Feeding and Lactation and Diuretics.generate smile image.
Vitamin E,drug class is Breast Feeding and Lactation and Vitamins and Antioxidants.generate smile image.
Ceftazidime and Avibactam,drug class is Breast Feeding and Lactation and Anti-Infective Agents and Antibacterial Agents and Cephalosporins.generate smile image.
Hydralazine,drug class is Breast Feeding and Lactation and Antihypertensive Agents and Vasodilator Agents.generate smile image.
Bendamustine,drug class is Breast Feeding and Lactation and Antineoplastic Agents  Alkylating and Nitrosourea Compounds.generate smile image.
Latanoprostene Bunod,drug class is Breast Feeding and Lactation and Milk  Human and Antiglaucoma Agents and Prostaglandins.generate smile image.
Arsenic Trioxide,drug class is Breast Feeding and Lactation and Antineoplastic Agents.generate smile image.
Lutetium Lu 177 Dotatate,drug class is Breast Feeding and Lactation and Radiopharmaceuticals and Lutetium Radioisotopes.generate smile image.
Dexrazoxane,drug class is Breast Feeding and Lactation and Antineoplastic Agents and Cardioprotectants and Cardiotonic Agents and Enzyme Inhibitors and Topoisomerase II Inhibitors.generate smile image.
